appearances,computer,url
"[{'title': 'Runaway (1984)', 'importance': 1, 'realism': 4, 'visibility': 3}]",Acer MPF-1,http://www.starringthecomputer.com//computer.html?c=172
"[{'title': 'Dark Season - Season 1 (1991)', 'importance': 5, 'realism': 2, 'visibility': 4}, {'title': 'Bergerac - Season 8, Episode 11, ""There for the Picking"" (1990)', 'importance': 2, 'realism': 5, 'visibility': 2}, {'title': 'Paddington (2014)', 'importance': 3, 'realism': 4, 'visibility': 4}, {'title': 'Strapless (1989)', 'importance': 2, 'realism': 4, 'visibility': 2}, {'title': 'Watt on Earth - Season 1, Episode 1 (1991)', 'importance': 3, 'realism': 5, 'visibility': 3}, {'title': 'Capital City - Season 1, Episode 2, ""Insider Trading"" (1989)', 'importance': 3, 'realism': 5, 'visibility': 3}]",Acorn Archimedes,http://www.starringthecomputer.com//computer.html?c=68
"[{'title': 'Undercover Grandpa (2017)', 'importance': 3, 'realism': 5, 'visibility': 3}]",Alienware 15,http://www.starringthecomputer.com//computer.html?c=416
"[{'title': 'The IT Crowd - Season 3 (2008)', 'importance': 1, 'realism': 4, 'visibility': 1}, {'title': 'Micro Men (2009)', 'importance': 1, 'realism': 4, 'visibility': 1}]",Amstrad CPC 464,http://www.starringthecomputer.com//computer.html?c=140
"[{'title': 'The Proposal (2009)', 'importance': 1, 'realism': 5, 'visibility': 3}, {'title': 'Flickan som lekte med elden (2009)', 'importance': 2, 'realism': 5, 'visibility': 2}, {'title': 'Luftslottet som sprängdes (2009)', 'importance': 1, 'realism': 5, 'visibility': 2}, {'title': 'The Stepfather (2009)', 'importance': 3, 'realism': 4, 'visibility': 3}, {'title': 'Chloe (2009)', 'importance': 2, 'realism': 5, 'visibility': 3}, {'title': 'Bedtime Stories (2008)', 'importance': 1, 'realism': 5, 'visibility': 2}, {'title': 'The Spy Next Door (2010)', 'importance': 4, 'realism': 3, 'visibility': 3}, {'title': 'Tamara Drew (2010)', 'importance': 3, 'realism': 5, 'visibility': 4}, {'title': 'The Mechanic (2011)', 'importance': 3, 'realism': 5, 'visibility': 3}, {'title': 'The Descendants (2011)', 'importance': 1, 'realism': 5, 'visibility': 1}, {'title': 'Over Kanten (2012)', 'importance': 2, 'realism': 5, 'visibility': 2}, {'title': 'Stay Cool (2009)', 'importance': 1, 'realism': 5, 'visibility': 2}, {'title': ""He's Just Not That Into You (2009)"", 'importance': 3, 'realism': 5, 'visibility': 3}]",Apple Aluminum iMac,http://www.starringthecomputer.com//computer.html?c=233
"[{'title': 'Kung Fury (2015)', 'importance': 5, 'realism': 1, 'visibility': 4}]",Applied Technologies MicroBee 32,http://www.starringthecomputer.com//computer.html?c=360
"[{'title': 'Bird of Prey 2 (1984)', 'importance': 3, 'realism': 5, 'visibility': 3}]",Apricot PC,http://www.starringthecomputer.com//computer.html?c=258
"[{'title': 'Undercover Grandpa (2017)', 'importance': 3, 'realism': 3, 'visibility': 2}]",Arduino Duemilanove,http://www.starringthecomputer.com//computer.html?c=415
"[{'title': 'Run Silent Run Deep (1958)', 'importance': 4, 'realism': 5, 'visibility': 3}]",Arma Torpedo Data Computer,http://www.starringthecomputer.com//computer.html?c=253
"[{'title': 'The IT Crowd - Season 3, Episode 5, ""Facefriend"" (2008)', 'importance': 3, 'realism': 5, 'visibility': 4}]",Asus EEE PC,http://www.starringthecomputer.com//computer.html?c=142
"[{'title': 'The Secret of My Success (1987)', 'importance': 1, 'realism': 5, 'visibility': 4}, {'title': 'Wall Street (1987)', 'importance': 2, 'realism': 5, 'visibility': 2}, {'title': 'The Hunt for Red October (1990)', 'importance': 1, 'realism': 5, 'visibility': 1}, {'title': 'Defense Play (1988)', 'importance': 4, 'realism': 4, 'visibility': 3}, {'title': 'The Naked Gun: From the Files of Police Squad! (1988)', 'importance': 1, 'realism': 5, 'visibility': 2}, {'title': ""Doin' Time on Planet Earth (1988)"", 'importance': 4, 'realism': 4, 'visibility': 2}, {'title': ""Twister's Revenge (1987)"", 'importance': 5, 'realism': 1, 'visibility': 3}, {'title': 'MacGyver - Season 2 (1986)', 'importance': 4, 'realism': 4, 'visibility': 4}, {'title': 'Tales from the Darkside - Season 4, Episode 9, ""Sorry, Right Number"" (1987)', 'importance': 2, 'realism': 5, 'visibility': 2}, {'title': 'Tales from the Darkside - Season 4, Episode 10, ""Payment Overdue"" (1988)', 'importance': 4, 'realism': 5, 'visibility': 3}]",AT&T PC 6300,http://www.starringthecomputer.com//computer.html?c=49
"[{'title': 'Whiz Kids - Episode 9, ""Red Star Rising"" (1983)', 'importance': 4, 'realism': 3, 'visibility': 2}]",Atari 1200 XL,http://www.starringthecomputer.com//computer.html?c=121
"[{'title': 'Science Fiction Theatre - Season 2, Episode 30, ""Doctor Robot"" (1956)', 'importance': 5, 'realism': 3, 'visibility': 4}]",Bendix G-15,http://www.starringthecomputer.com//computer.html?c=366
"[{'title': 'Iron Thunder (1998)', 'importance': 3, 'realism': 1, 'visibility': 4}]",Brother Opus WP510,http://www.starringthecomputer.com//computer.html?c=281
"[{'title': 'Tales from the Darkside - Season 1, Episode 6, ""Slippage"" (1984)', 'importance': 1, 'realism': 4, 'visibility': 2}]",Bull Micral 30,http://www.starringthecomputer.com//computer.html?c=400
"[{'title': 'Mannix (1967)', 'importance': 4, 'realism': 2, 'visibility': 4}]",Burroughs B200,http://www.starringthecomputer.com//computer.html?c=277
"[{'title': 'Eight Legged Freaks (2002)', 'importance': 3, 'realism': 4, 'visibility': 3}]",Casio Cassiopeia E-100,http://www.starringthecomputer.com//computer.html?c=312
"[{'title': 'The Mad Bomber (1973)', 'importance': 3, 'realism': 3, 'visibility': 3}]",CDC 3100,http://www.starringthecomputer.com//computer.html?c=255
"[{'title': 'Perry Mason - Season 5, Episode 6, ""The Case of the Meddling Medium"" (1961)', 'importance': 3, 'realism': 5, 'visibility': 3}]",Clary DE-60,http://www.starringthecomputer.com//computer.html?c=297
